Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Article Title (FR),National Sentence Number (FR),National Sentence Text,P/T Document,Matched P/T Division,Matched P/T Sentence Number,Matched P/T Article Title,Matched P/T Article Title (FR),Matched P/T Sentence Number (FR),Matched P/T Sentence Text,Text Difference Tracked,Difference Type,Variation?,Variation Label,Exception?,Comments,Code Part,Code Article,Code Section,Code Subsection,Code Sentence,National Sentence Text (FR),Matched P/T Sentence Text (FR),Text Difference Tracked (FR),Difference Type Updated?,Exception Updated?,Variation Updated?
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.1.(1),Fire Separations 2h,"Except for F1 occupancies, 1 h fire separation is acceptable, if the building is fully sprinklered.",,,,P/T Only,Yes,,,,10,10.1.1.1,10.1,10.1.1,10.1.1.1.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.2.(1),Fire Separations 1h,½ h fire separation is acceptable if the building is fully sprinklered.,,,,P/T Only,Yes,,,,10,10.1.1.2,10.1,10.1.1,10.1.1.2.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.3.(1),Non-combustible Construction,Roofs may be of combustible construction provided the building is fully sprinklered.,,,,P/T Only,Yes,,,,10,10.1.1.3,10.1,10.1.1,10.1.1.3.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.3.(2),Non-combustible Construction,Up to 10% gross floor area to a maximum of 10% of any one floor area may be of combustible construction provided the building is fully sprinklered.,,,,P/T Only,Yes,,,,10,10.1.1.3,10.1,10.1.1,10.1.1.3.(2),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.4.(1),Fire-resistance Rating,"A fire-resistance rating may also be used based on: HUD No. 8 Guideline on Fire Ratings of Archaic Materials and Assemblies. Fire Endurance of Protected Steel Columns and Beams, DBR Technical Paper No. 194. Fire Endurance of Unit Masonry Walls, DBR Technical Paper No. 207. Fire Endurance of Light-Framed and Miscellaneous Assemblies, DBR Technical Paper No. 222.",,,,P/T Only,Yes,,,,10,10.1.1.4,10.1,10.1.1,10.1.1.4.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.5.(1),Rating of Supporting Construction,Supporting assemblies that use heavy timber construction are permitted to have a fire resistance rating less than would be required by the Code provided the building is fully sprinklered; and does not exceed 5 stories in building height.,,,,P/T Only,Yes,,,,10,10.1.1.5,10.1,10.1.1,10.1.1.5.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.6.(1),Continuity of Fire Separations,Fire separations are not required to be continuous above the ceiling space where the ceiling space is non-combustible construction; both fire compartments are sprinklered; or the ceiling has a minimum fire resistance rating of 30 minutes.,,,,P/T Only,Yes,,,,10,10.1.1.6,10.1,10.1.1,10.1.1.6.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.7.(1),Wired Glass,"For fixed transoms or sidelights, 6 mm wired glass fixed to a wood frame of at least 50 mm thickness with steel stops is permitted in a required fire separation.",,,,P/T Only,Yes,,,,10,10.1.1.7,10.1,10.1.1,10.1.1.7.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.8.(1),Mezzanines,Mezzanines may enclose up to 20% above the horizontal plane and not be considered a storey in building height if the building is fully sprinklered.,,,,P/T Only,Yes,,,,10,10.1.1.8,10.1,10.1.1,10.1.1.8.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.9.(1),Spatial Separation,"The area of unprotected opening is not limited provided: the exterior walls have a interior thermo barrier of 12.7 mm, thick gypsum board or lath and plaster in good condition; the limiting distance is a minimum 1 m; the entire building has a supervised sprinkler system in conformance with Sentence 3.2.4.9.(2),(Part 3, Division B); and the sprinkler system is connected to the fire department in conformance with Sentence 3.2.4.7.(4). (Part 3, Division B).",,,,P/T Only,Yes,,,,10,10.1.1.9,10.1,10.1.1,10.1.1.9.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.10.(1),Construction of Exposing Building Face,"Exposing building face is not required to have a fire resistance rating if the building is fully sprinklered. Also, the exposing building face is not required to be of non-combustible construction if it is protected by an exterior sprinkler system conforming to NFPA 13 and has a thermo barrier as specified in No.9(a) of these compliance tables. ",,,,P/T Only,Yes,,,,10,10.1.1.10,10.1,10.1.1,10.1.1.10.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.11.(1),Roof Covering Rating,"For existing roofs not covered by a Class A, B or C roofing a manually operated deluge system in accordance with NFPA 13 is permitted.",,,,P/T Only,Yes,,,,10,10.1.1.11,10.1,10.1.1,10.1.1.11.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.12.(1),Interconnected Floor Space,"An open stair in buildings of maximum 3 stories in building height need not comply with Subsection 3.2.8. (Part 3, Division B) provided: it is not a required exit stair; the building contains a Group C or D occupancy; the building is fully sprinklered with fast response sprinklers; corridors opening into the interconnected floor space are separated from the interconnected floor space by a fire separation with the rating required for the corridor; and smoke detectors are installed in the rooms opening into the interconnected floor space.",,,,P/T Only,Yes,,,,10,10.1.1.12,10.1,10.1.1,10.1.1.12.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.13.(1),Separation of Suites,Existing ½ h fire separations are acceptable in fully sprinklered buildings not exceeding 5 stories in building height. ,,,,P/T Only,Yes,,,,10,10.1.1.13,10.1,10.1.1,10.1.1.13.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.14.(1),Corridor Fire Separation,"Existing corridors with ½ h fire resistance ratings, are acceptable in residential occupancies provided the building: does not exceed 5 stories in building height; and is fully sprinklered with fast response sprinklers.",,,,P/T Only,Yes,,,,10,10.1.1.14,10.1,10.1.1,10.1.1.14.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.15.(1),Corridor Width,Public corridors and exit corridors are permitted with a minimum width of 800 mm provided: the occupant load of the building is maximum 20 people; and the building does not exceed 3 stories in building height.,,,,P/T Only,Yes,,,,10,10.1.1.15,10.1,10.1.1,10.1.1.15.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.16.(1),Door Swing,"2nd egress door from a room is not required to swing in the direction of exit travel provided: the building is fully sprinklered and the sprinkler system is supervised in conformance with Sentence 3.2.4.9.(2), (Part 3, Division B); and the occupant load of the building is maximum 100 people.",,,,P/T Only,Yes,,,,10,10.1.1.16,10.1,10.1.1,10.1.1.16.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.17.(1),"Stairs, Ramps, Handrails and Guards","3.3.1.14., 3.3.1.16., 3.3.1.18., 3.4.6.1. to 3.4.6.9 (Part 3, Division B); 9.8. (Part 9, Division B) ",,,,P/T Only,Yes,,,,10,10.1.1.17,10.1,10.1.1,10.1.1.17.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.18.(1),Transparent Doors and Panels,Existing glass or transparent panels that do not comply fully with the requirements are permitted if it is sufficiently discernible or guards are provided in hazardous situations. ,,,,P/T Only,Yes,,,,10,10.1.1.18,10.1,10.1.1,10.1.1.18.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.19.(1),Dead-end Corridors,Dead-end corridors are permitted to a maximum length of 10 m in Group C occupancies provided: the building is fully sprinklered with fast response sprinklers; and smoke detectors are installed in the corridor system.,,,,P/T Only,Yes,,,,10,10.1.1.19,10.1,10.1.1,10.1.1.19.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.19.(2),Dead-end Corridors,"Dead-end corridors are permitted to a maximum of 15 m in length in Group D, E, F2 and F3 occupancies provided: the building is fully sprinklered with fast response sprinklers; and smoke detectors are installed in the corridor system.",,,,P/T Only,Yes,,,,10,10.1.1.19,10.1,10.1.1,10.1.1.19.(2),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.20.(1),Exits,"Floor areas may be served by a single exit within the limits of 3.4.2.1.(2) (Part 3, Division B) provided: the building does not exceed 3 stories in building height; the building is fully sprinklered with fast response sprinklers; and the building contains an approved fire alarm system with smoke detectors located in accordance with Sentence 3.2.4.11 (Part 3, Division B).",,,,P/T Only,Yes,,,,10,10.1.1.20,10.1,10.1.1,10.1.1.20.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.21.(1),Reduction of Exit Width,Existing swinging doors in their swing are permitted to reduce the effective width of exit stairs and landings to a minimum of 550 mm provided: they serve Group C or D occupancies; the building does not exceed 5 stories in building height; and the building is fully sprinklered.,,,,P/T Only,Yes,,,,10,10.1.1.21,10.1,10.1.1,10.1.1.21.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.22.(1),Fire Separation of Exits,Existing fire separations of ½ h are acceptable provided the building is fully sprinklered with fast response sprinklers and does not exceed 3 stories in building height. ,,,,P/T Only,Yes,,,,10,10.1.1.22,10.1,10.1.1,10.1.1.22.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.22.(2),Fire Separation of Exits,Buildings not exceeding 5 stories in building height may have exits that are separated by a 3/4 h fire separation provided the building is fully sprinklered. ,,,,P/T Only,Yes,,,,10,10.1.1.22,10.1,10.1.1,10.1.1.22.(2),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.23.(1),Exits Through Lobbies,Rooms adjacent to the lobby are not required to be separated by a fire separation provided: the floor area is sprinklered with fast response sprinklers; and smoke detectors are installed in the adjacent rooms.,,,,P/T Only,Yes,,,,10,10.1.1.23,10.1,10.1.1,10.1.1.23.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.24.(1),Rooms Opening into an Exit,Service rooms and ancillary rooms may open directly into an exit provided: the building is fully sprinklered; the room is sprinklered with fast response sprinklers; the door assembly has a fire protection rating of at least 20 min.; the building does not exceed 3 stories in building height; and weather stripping is installed on the door to prevent the passage of smoke.,,,,P/T Only,Yes,,,,10,10.1.1.24,10.1,10.1.1,10.1.1.24.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.25.(1),Illumination of Exit Signs,"In provincial or municipal designated heritage buildings where exit signage may compromise historic appearances, or authenticity of displays, exit signs may be installed to light only in an emergency condition, such as by the activation of the fire alarm system or due to power failure.",,,,P/T Only,Yes,,,,10,10.1.1.25,10.1,10.1.1,10.1.1.25.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.26.(1),Clearance from Exit Doors,"Except as permitted in Sentences 3.4.6.11(3) or 9.9.6.6(2), existing exit doors shall not extend beyond the first riser. ",,,,P/T Only,Yes,,,,10,10.1.1.26,10.1,10.1.1,10.1.1.26.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.27.(1),Fire Escapes,Existing fire escapes that do not completely conform to Article 3.4.7.1. are acceptable provided: they are acceptable to the authority having jurisdiction; and the building is fully sprinklered.,,,,P/T Only,Yes,,,,10,10.1.1.27,10.1,10.1.1,10.1.1.27.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.28.(1),Fire Escape Construction,"Existing combustible fire escapes are permitted if the building is permitted to be of combustible construction by Part 3, (Part 3, Division B) Part 9 (Part 9, Division B) or by these compliance tables. ",,,,P/T Only,Yes,,,,10,10.1.1.28,10.1,10.1.1,10.1.1.28.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.29.(1),Protection of Fire Escapes,"Existing openings in the exterior wall adjacent to the fire escape are not required to be protected by closures provided: the building is fully sprinklered; and a sprinkler head is located within 1.5 m of the opening required to be protected by Article 3.4.7.4. (Part 3, Division B).",,,,P/T Only,Yes,,,,10,10.1.1.29,10.1,10.1.1,10.1.1.29.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.30.(1),Vertical Service Space,Existing vertical service spaces that do not completely conform to the rated fire separation requirements are acceptable provided the building is fully sprinklered. ,,,,P/T Only,Yes,,,,10,10.1.1.30,10.1,10.1.1,10.1.1.30.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.31.(1),Height and Area of Rooms,"Existing rooms are not required to comply with the minimum dimension requirements of Subsection 3.6.1. (Part 3, Division B) or Section 9.5. (Part 9, Division B). ",,,,P/T Only,Yes,,,,10,10.1.1.31,10.1,10.1.1,10.1.1.31.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.32.(1),Window Areas,"Existing windows are not required to comply with the minimum dimensions of Article 9.9.10. (Part 9, Division B). ",,,,P/T Only,Yes,,,,10,10.1.1.32,10.1,10.1.1,10.1.1.32.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.33.(1),Washrooms Required to be Barrier-Free,"Except in Assembly occupancies and Group D Business and personal services occupancies intended to offer medical or therapeutic services, a barrier free washroom need not be provided in an existing building with a building area less than 120 m2.",,,,P/T Only,Yes,,,,10,10.1.1.33,10.1,10.1.1,10.1.1.33.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.34.(1),Entrances,"Where an existing building has a building area less than 120 m2, (1292 sq. ft.); the slope from the entrance level floor at the entrance door to a street or public way is greater than 1 in 10; no entrance is more than 1 m to the property line; and no alternate access to an entrance from a street or public way is possible; the owner may use a stair with a maximum rise of 150 mm (6 in); a minimum run of 280 mm (11 in); tactile landings; contrasting colour nosings; and an unobstructed width of 1 m.",,,,P/T Only,Yes,,,,10,10.1.1.34,10.1,10.1.1,10.1.1.34.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.35.(1),Mechanical Systems,Existing mechanical systems in buildings are not required to fully comply with the requirements of Parts 6 or 7 provided: the existing mechanical system is not in an unsafe condition; and it is acceptable to the authority having jurisdiction.,,,,P/T Only,Yes,,,,10,10.1.1.35,10.1,10.1.1,10.1.1.35.(1),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
